treatment,environment,change_rate,trait,total_reps,uncon_before_con_cnt,con_cnt,uncon_before_con_prct,subopt_plastic_before_opt_plastic_cnt,opt_plastic_cnt,subopt_plastic_before_opt_plastic_prct
ntasks_2__envs_4__cr_1__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,1,not,50,25,46,0.543478,11,21,0.523810
ntasks_2__envs_4__cr_1__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,1,all,50,45,47,0.957447,13,13,1.000000
ntasks_2__envs_4__cr_25__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,25,nand,50,20,44,0.454545,17,43,0.395349
ntasks_2__envs_4__cr_25__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,25,not,50,5,50,0.100000,9,50,0.180000
ntasks_2__envs_4__cr_25__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,25,all,50,9,50,0.180000,43,43,1.000000
ntasks_2__envs_4__cr_50__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,50,nand,50,41,50,0.820000,26,50,0.520000
ntasks_2__envs_4__cr_50__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,50,not,50,13,50,0.260000,6,50,0.120000
ntasks_2__envs_4__cr_50__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,50,all,50,24,50,0.480000,49,49,1.000000
ntasks_2__envs_4__cr_100__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,100,nand,50,50,50,1.000000,18,50,0.360000
ntasks_2__envs_4__cr_100__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,100,not,50,29,50,0.580000,11,50,0.220000
ntasks_2__envs_4__cr_100__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,100,all,50,39,50,0.780000,50,50,1.000000
ntasks_2__envs_4__cr_200__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,200,nand,50,48,49,0.979592,21,47,0.446809
ntasks_2__envs_4__cr_200__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,200,not,50,29,50,0.580000,27,50,0.540000
ntasks_2__envs_4__cr_200__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,200,all,50,41,50,0.820000,45,45,1.000000
ntasks_2__envs_4__cr_400__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,400,nand,50,44,44,1.000000,14,36,0.388889
ntasks_2__envs_4__cr_400__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,400,not,50,37,50,0.740000,33,50,0.660000
ntasks_2__envs_4__cr_400__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,400,all,50,44,50,0.880000,21,21,1.000000
ntasks_2__envs_4__cr_800__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,800,nand,50,45,45,1.000000,14,35,0.400000
